"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-99.292","49.276","BALDUR","5010140","MB","3.7","0","-0.3","23.0","0","-9.0","0","6.8","0","63.0","12.8","0","47.0","0.0","3","","","NA","429.1","0.0"
"-99.952","49.910","BRANDON A","5010481","MB","4.2","0","NA","24.2","0","-7.3","0","0.0","0","NA","14.0","0","NA","","2","","","NA","413.6","0.0"
"-99.950","49.900","BRANDON RCS","5010490","MB","4.5","0","NA","23.8","0","-7.0","0","","","NA","13.4","0","NA","","2","","","NA","405.6","0.0"
"-99.357","49.906","CARBERRY CS","5010547","MB","4.6","0","NA","23.7","0","-7.1","0","","","NA","17.1","0","NA","","4","","","NA","402.9","0.0"
"-99.074","49.562","CYPRESS RIVER RCS","5010641","MB","4.8","0","NA","23.9","0","-7.3","0","","","NA","13.1","0","NA","","4","","","NA","396.4","0.0"
"-101.203","49.927","ELKHORN 2 EAST","5010QFQ","MB","5.2","2","1.1","24.5","2","-8.5","2","3.6","2","NA","18.4","2","NA","0.0","5","","","NA","358.4","0.0"
"-98.300","49.983","PORTAGE ROMANCE","5012300","MB","","","NA","","","","","6.0","0","NA","22.2","0","NA","0.0","6","","","NA","",""
"-98.267","49.950","PORTAGE LA PRAIRIE CDA","5012321","MB","","","NA","","","","","1.0","26","NA","19.4","26","NA","","4","","","NA","",""
"-98.284","49.903","PORTAGE SOUTHPORT","5012324","MB","4.6","0","NA","21.9","0","-8.2","0","","","NA","21.5","0","NA","","5","","","NA","401.5","0.0"
"-101.363","51.183","ROBLIN","5012469","MB","3.1","0","NA","23.7","0","-10.9","0","","","NA","16.5","0","NA","","5","","","NA","448.1","0.0"
"-100.604","50.455","SHOAL LAKE CS","5012654","MB","3.4","0","NA","22.8","0","-9.5","0","","","NA","16.9","0","NA","","3","","","NA","439.0","0.0"
"-100.934","49.842","VIRDEN WATER","5012961","MB","5.3","0","NA","25.0","0","-9.0","0","0.0","0","NA","15.9","0","NA","0.0","4","","","NA","380.7","0.0"
"-99.942","50.655","WASAGAMING","5013117","MB","1.7","0","-0.2","21.8","0","-14.6","0","","","NA","13.5","0","54.0","2.0","5","","","NA","490.5","0.0"
"-100.986","49.281","MELITA","501A7AR","MB","5.4","0","NA","25.2","0","-8.0","0","","","NA","18.1","0","NA","","5","","","NA","377.6","0.0"
"-101.400","51.267","ROBLIN FRIESEN 3 NORTHWEST","501B4G2","MB","","","NA","","","","","3.2","0","NA","20.2","0","NA","0.0","6","","","NA","",""
"-100.179","50.108","RIVERS PETTAPIECE","501BMMA","MB","","","NA","","","","","6.2","0","68.0","17.5","0","75.0","0.0","6","","","NA","",""
"-100.817","50.750","ROSSBURN 4 NORTH","501KE01","MB","","","NA","","","","","14.0","1","NA","29.0","1","NA","0.0","7","","","NA","",""
"-98.319","49.400","DEERWOOD RCS","5020725","MB","4.7","0","NA","22.1","0","-7.0","0","","","NA","20.9","0","NA","","7","","","NA","399.0","0.0"
"-97.238","49.000","EMERSON AUTO","5020881","MB","1.3","15","NA","11.4","15","-6.7","15","","","NA","9.1","2","NA","1.0","4","","","NA","250.9","0.0"
"-97.560","49.031","GRETNA (AUT)","5021220","MB","4.9","0","NA","23.3","0","-5.8","0","","","NA","7.9","0","NA","","3","","","NA","394.1","0.0"
"-98.875","49.606","HOLLAND","5021302","MB","","","NA","","","","","1.0","5","NA","31.6","5","NA","0.0","5","","","NA","",""
"-96.901","49.518","KLEEFELD (MAFRI)","5021500","MB","4.7","6","NA","21.2","6","-6.8","6","","","NA","11.1","6","NA","0.0","3","","","NA","318.4","0.0"
"-97.807","50.013","MARQUETTE","5021695","MB","4.9","2","0.2","21.0","2","-6.0","2","1.4","2","NA","18.2","2","NA","0.0","2","","","NA","367.7","0.0"
"-98.084","49.188","MORDEN CDA CS","5021849","MB","4.9","2","NA","22.0","2","-5.6","2","","","NA","11.7","2","NA","0.0","4","","","NA","367.2","0.0"
"-96.850","49.933","OAKBANK","5022051","MB","","","NA","","","","","6.0","0","43.0","20.0","0","61.0","0.0","6","","","NA","",""
"-98.905","49.191","PILOT MOUND (AUT)","5022125","MB","4.2","0","NA","22.5","0","-6.8","0","","","NA","","","NA","","","","","NA","415.3","0.0"
"-96.035","49.353","ST LABRE","5022575","MB","","","NA","","","","","19.0","0","157.0","29.5","0","82.0","0.0","10","","","NA","",""
"-97.950","49.133","SCHANZENFELD","5022623","MB","","","NA","","","","","9.4","0","108.0","22.1","0","79.0","0.0","7","","","NA","",""
"-95.598","49.024","SPRAGUE","5022759","MB","3.2","0","NA","21.0","0","-11.2","0","","","NA","10.5","0","NA","","4","","","NA","445.0","0.0"
"-97.167","50.117","STONY MOUNTAIN","5022791","MB","4.1","0","-0.3","20.0","0","-7.0","0","3.0","0","38.0","10.2","0","39.0","0.0","3","","","NA","416.5","0.0"
"-97.273","49.850","WINNIPEG CHARLESWOOD 2","5023225","MB","","","NA","","","","","4.8","0","NA","17.4","0","NA","0.0","4","","","NA","",""
"-97.240","49.910","WINNIPEG INTL A","5023227","MB","4.1","0","NA","20.7","0","-6.9","0","","","NA","","","NA","","","","","NA","418.5","0.0"
"-97.129","49.888","WINNIPEG THE FORKS","5023262","MB","5.1","0","NA","20.3","0","-6.9","0","","","NA","24.6","0","NA","","5","","","NA","387.3","0.0"
"-98.030","49.498","CARMAN U OF M CS","502I001","MB","4.8","0","NA","21.5","0","-6.2","0","","","NA","17.8","0","NA","","5","","","NA","395.8","0.0"
"-97.249","49.917","WINNIPEG A CS","502S001","MB","4.1","0","NA","20.6","0","-6.8","0","","","NA","18.4","0","NA","","6","","","NA","417.9","0.0"
"-97.022","52.360","BERENS RIVER CS","5030203","MB","-0.3","0","-1.4","16.1","0","-17.9","0","","","NA","17.8","0","76.0","0.0","6","","","NA","548.0","0.0"
"-97.018","52.359","BERENS RIVER A","5030204","MB","-0.2","0","NA","16.7","0","-18.1","0","","","NA","","","NA","","","","","NA","545.7","0.0"
"-97.616","52.819","GEORGE ISLAND (AUT)","5030984","MB","-2.3","2","NA","12.0","2","-16.3","2","","","NA","24.3","2","NA","","4","","","NA","567.8","0.0"
