"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-82.432","52.928","ATTAWAPISKAT A","6010400","ON","9.1","0","NA","26.9","0","-2.5","0","","","NA","54.2","4","NA","","9","","","NA","267.7","1.3"
"-89.897","53.818","BIG TROUT LAKE A","6010735","ON","9.4","0","NA","24.6","0","-2.3","0","","","NA","47.9","0","NA","","7","","","NA","258.7","0.4"
"-89.892","53.816","BIG TROUT LAKE","6010740","ON","9.3","1","NA","24.7","1","-3.1","1","","","NA","8.0","22","NA","","2","","","NA","253.6","0.1"
"-93.221","50.631","EAR FALLS (AUT)","6012199","ON","11.9","0","NA","27.7","0","0.8","0","","","NA","163.8","0","NA","","16","","","NA","192.7","8.7"
"-87.676","56.019","FORT SEVERN A","6012501","ON","8.6","5","NA","26.5","5","-2.3","5","","","NA","9.8","5","NA","","2","","","NA","237.2","2.4"
"-87.934","52.196","LANSDOWNE HOUSE A","6014351","ON","10.1","0","NA","25.4","0","-1.6","0","","","NA","96.5","0","NA","","12","","","NA","240.2","3.6"
"-87.936","52.196","LANSDOWNE HOUSE (AUT)","6014353","ON","10.0","1","NA","25.6","1","-2.2","1","","","NA","111.4","1","NA","","11","","","NA","234.3","3.7"
"-91.763","53.441","MUSKRAT DAM","6015026","ON","9.5","3","NA","24.4","3","-2.1","3","","","NA","49.8","3","NA","","8","","","NA","230.2","1.0"
"-85.433","54.983","PEAWANUCK (AUT)","6016295","ON","8.4","3","NA","24.6","3","-2.7","3","","","NA","11.6","17","NA","","3","","","NA","260.8","2.6"
"-85.443","54.988","PEAWANUCK A","6016298","ON","8.2","0","NA","24.6","0","-3.4","0","","","NA","","","NA","","","","","NA","296.2","2.6"
"-90.218","51.449","PICKLE LAKE (AUT)","6016525","ON","9.8","7","NA","26.5","7","-1.4","7","","","NA","114.5","7","NA","","11","","","NA","191.0","1.4"
"-90.214","51.446","PICKLE LAKE A","6016528","ON","10.6","0","NA","26.2","0","-1.6","0","","","NA","0.0","27","NA","","0","","","NA","226.1","5.4"
"-93.793","51.067","RED LAKE A","6016971","ON","10.7","2","NA","28.5","2","-0.8","2","","","NA","","","NA","","","","","NA","215.6","9.8"
"-93.344","53.064","SANDY LAKE A","6017401","ON","9.6","1","NA","25.6","1","-2.7","1","","","NA","69.7","1","NA","","12","","","NA","244.5","0.4"
"-93.967","48.633","BARWICK","6020559","ON","14.1","0","1.4","30.0","0","0.5","0","0.0","0","0.0","154.4","0","203.0","0.0","16","","","NA","139.8","21.6"
"-91.628","48.761","ATIKOKAN (AUT)","6020LPQ","ON","12.4","0","NA","28.5","0","-1.0","0","","","NA","169.0","0","NA","","16","","","NA","173.2","5.7"
"-93.439","48.651","FORT FRANCES RCS","6022474","ON","12.8","0","NA","29.0","0","-1.3","0","","","NA","177.0","0","NA","","16","","","NA","167.4","10.1"
"-92.623","48.760","MINE CENTRE SOUTHWEST","6025205","ON","13.3","0","NA","28.5","0","0.0","0","0.0","0","NA","190.1","0","NA","0.0","15","","","NA","144.8","3.6"
"-92.744","49.828","DRYDEN REGIONAL","6032125","ON","12.2","3","NA","28.5","3","-0.1","3","","","NA","193.7","3","NA","","15","","","NA","167.4","10.3"
"-94.378","49.791","KENORA RCS","6034073","ON","12.7","1","NA","27.7","1","1.9","1","","","NA","88.7","8","NA","","9","","","NA","163.6","10.9"
