"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-89.278","48.414","THUNDER BAY BURWOOD","6048266","ON","17.6","19","NA","29.0","19","5.0","19","0.0","19","NA","4.8","19","NA","0.0","2","","","NA","14.4","10.0"
"-89.327","48.369","THUNDER BAY CS","6048268","ON","16.2","0","NA","27.9","0","4.2","0","","","NA","64.3","0","NA","","10","","","NA","63.5","7.9"
"-90.467","49.033","UPSALA (AUT)","6049095","ON","15.4","5","NA","28.7","5","1.6","5","","","NA","69.1","5","NA","","8","","","NA","74.4","7.9"
"-89.119","48.369","WELCOME ISLAND (AUT)","6049443","ON","16.8","0","NA","24.6","0","10.2","0","","","NA","58.4","0","NA","","7","","","NA","42.8","5.1"
"-84.814","47.723","LAKE SUPERIOR PROVINCIAL PARK","6054425","ON","14.5","2","NA","27.1","2","2.9","2","","","NA","99.2","2","NA","","7","","","NA","102.6","0.0"
"-84.510","46.485","SAULT STE MARIE A","6057591","ON","16.6","1","NA","29.8","1","3.8","1","0.0","5","NA","42.7","0","NA","","8","","","NA","50.8","7.4"
"-84.517","46.478","SAULT STE. MARIE AIRPORT","6057593","ON","17.2","0","NA","29.0","0","5.5","0","","","NA","38.4","0","NA","","7","","","NA","38.2","13.2"
"-84.786","47.967","WAWA A","6059413","ON","14.7","0","NA","26.5","0","4.6","0","","","NA","","","NA","","","","","NA","101.4","0.1"
"-81.483","45.967","KILLARNEY (AUT)","605DJ25","ON","18.5","0","NA","25.7","0","11.6","0","","","NA","","","NA","","","","","NA","15.3","31.4"
"-83.347","47.820","CHAPLEAU A","6061365","ON","15.6","0","NA","27.8","0","2.6","0","","","NA","","","NA","","","","","NA","79.2","6.1"
"-82.025","46.193","MASSEY","6065006","ON","17.6","0","-0.2","27.5","0","3.5","0","0.0","0","NA","56.6","0","67.0","0.0","6","","","NA","35.3","22.6"
"-80.303","46.215","MONETVILLE 2","6065252","ON","18.5","1","NA","29.0","1","6.0","1","0.0","1","NA","46.9","1","NA","0.0","8","","","NA","19.6","35.2"
"-80.796","46.632","SUDBURY CLIMATE","6068145","ON","17.1","1","NA","28.2","1","5.4","1","","","NA","98.3","1","NA","","6","","","NA","47.9","19.9"
"-80.798","46.626","SUDBURY A","6068153","ON","17.4","1","NA","28.2","1","5.7","1","0.0","6","NA","79.1","0","NA","","5","","","NA","37.4","20.6"
