"Long","Lat","Stn_Name","Clim_ID","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD"
"-82.432","52.928","ATTAWAPISKAT A","6010400","ON","15.9","0","NA","28.3","0","5.6","0","","","NA","28.6","2","NA","","1","","","NA","79.0","14.4"
"-89.897","53.818","BIG TROUT LAKE A","6010735","ON","16.6","3","NA","28.7","3","6.7","3","","","NA","122.7","3","NA","","11","","","NA","53.8","15.9"
"-89.892","53.816","BIG TROUT LAKE","6010740","ON","16.7","0","NA","29.5","0","5.6","0","","","NA","123.7","0","NA","","13","","","NA","60.6","20.5"
"-93.221","50.631","EAR FALLS (AUT)","6012199","ON","18.8","3","NA","29.2","3","6.2","3","","","NA","85.3","3","NA","","8","","","NA","18.1","41.3"
"-87.676","56.019","FORT SEVERN A","6012501","ON","12.2","0","NA","28.5","0","1.8","0","","","NA","62.2","0","NA","","9","","","NA","180.8","2.0"
"-87.934","52.196","LANSDOWNE HOUSE A","6014351","ON","18.2","0","NA","30.7","0","5.2","0","","","NA","100.1","0","NA","","10","","","NA","35.3","41.7"
"-87.936","52.196","LANSDOWNE HOUSE (AUT)","6014353","ON","18.0","0","NA","30.4","0","4.8","0","","","NA","91.2","0","NA","","8","","","NA","38.2","38.3"
"-91.763","53.441","MUSKRAT DAM","6015026","ON","18.0","0","NA","31.7","0","4.4","0","","","NA","43.9","0","NA","","7","","","NA","41.5","40.9"
"-85.433","54.983","PEAWANUCK (AUT)","6016295","ON","13.0","0","NA","27.7","0","3.2","0","","","NA","192.9","0","NA","","14","","","NA","158.6","5.1"
"-85.443","54.988","PEAWANUCK A","6016298","ON","13.0","0","NA","27.7","0","3.2","0","","","NA","232.3","5","NA","","13","","","NA","159.0","4.6"
"-90.218","51.449","PICKLE LAKE (AUT)","6016525","ON","19.2","0","NA","30.8","0","8.4","0","","","NA","86.7","0","NA","","12","","","NA","17.2","55.2"
"-90.214","51.446","PICKLE LAKE A","6016528","ON","19.0","3","NA","30.7","3","8.2","3","","","NA","","","NA","","","","","NA","17.3","45.6"
"-93.793","51.067","RED LAKE A","6016971","ON","18.6","0","NA","29.3","0","4.3","0","","","NA","","","NA","","","","","NA","28.9","46.1"
"-93.344","53.064","SANDY LAKE A","6017401","ON","18.2","1","NA","31.6","1","4.6","1","","","NA","79.9","1","NA","","7","","","NA","30.9","38.0"
"-93.967","48.633","BARWICK","6020559","ON","19.8","0","0.8","30.5","0","6.0","0","0.0","0","NA","132.4","0","129.0","0.0","10","","","NA","7.8","63.6"
"-91.628","48.761","ATIKOKAN (AUT)","6020LPQ","ON","18.8","3","NA","29.9","3","6.3","3","","","NA","145.9","3","NA","","10","","","NA","16.6","38.7"
"-93.439","48.651","FORT FRANCES RCS","6022474","ON","18.7","1","NA","30.1","1","3.6","1","","","NA","117.7","1","NA","","10","","","NA","18.2","40.4"
"-92.623","48.760","MINE CENTRE SOUTHWEST","6025205","ON","19.6","0","NA","31.0","0","6.5","0","0.0","0","NA","136.1","0","NA","0.0","13","","","NA","8.0","58.8"
